1,1,3,1,1,1,1
2,1,5,1,1,1,1
3,1,247,1,1,1,1
4,2,3,1,1,2,1
5,2,6,1,1,2,1
6,2,8,1,1,2,1
7,2,248,1,1,2,1
8,3,1,1,1,3,1
9,3,2,1,1,3,1
10,3,4,1,1,3,1
11,3,7,1,1,3,1
12,3,18,1,1,3,1
13,3,129,1,1,3,1
14,3,249,1,1,3,1
15,4,16,1,1,4,1
16,5,7,1,1,5,1
17,6,2,1,1,6,1
18,7,6,1,1,7,1
19,8,11,1,1,8,1
20,9,5,1,1,9,1
21,10,12,1,1,10,1
22,11,8,1,1,11,1
23,11,9,1,1,11,1
24,11,10,1,1,11,1
25,11,13,1,1,11,1
26,11,250,1,1,11,1
27,12,20,1,1,12,1
28,12,251,1,1,12,1
29,13,11,1,1,13,1
30,15,14,1,1,15,1
31,15,16,1,1,15,1
32,15,17,1,1,15,1
33,15,31,1,1,15,1
34,15,74,1,1,15,1
35,15,75,1,1,15,1
36,16,36,1,1,16,1
37,17,252,1,1,17,1
38,18,3,1,1,18,1
39,18,20,1,1,18,1
40,19,21,1,1,19,1
41,21,19,1,1,21,1
42,21,22,1,1,21,1
43,22,21,1,1,22,1
44,22,253,1,1,22,1
45,23,20,1,1,23,1
46,23,22,1,1,23,1
47,23,231,1,1,23,1
48,23,254,1,1,23,1
49,24,22,1,1,24,1
50,25,24,1,1,25,1
51,25,26,1,1,25,1
52,25,232,1,1,25,1
53,26,19,1,1,26,1
54,27,28,1,1,27,1
55,27,32,1,1,27,1
56,27,34,1,1,27,1
57,27,35,1,1,27,1
58,29,30,1,1,29,1
59,30,29,1,1,30,1
60,30,73,1,1,30,1
61,31,15,1,1,31,1
62,31,32,1,1,31,1
63,31,35,1,1,31,1
64,32,31,1,1,32,1
65,32,35,1,1,32,1
66,33,36,1,1,33,1
67,33,255,1,1,33,1
68,35,31,1,1,35,1
69,36,33,1,1,36,1
70,36,40,1,1,36,1
71,37,32,1,1,37,1
72,37,38,1,1,37,1
73,37,42,1,1,37,1
74,37,46,1,1,37,1
75,38,37,1,1,38,1
76,38,39,1,1,38,1
77,38,41,1,1,38,1
78,38,47,1,1,38,1
79,38,256,1,1,38,1
80,41,38,1,1,41,1
81,41,61,1,1,41,1
82,41,92,1,1,41,1
83,43,31,1,1,43,1
84,43,35,1,1,43,1
85,43,44,1,1,43,1
86,43,257,1,1,43,1
87,44,35,1,1,44,1
88,44,43,1,1,44,1
89,48,45,1,1,48,1
90,48,47,1,1,48,1
91,48,49,1,1,48,1
92,48,258,1,1,48,1
93,49,48,1,1,49,1
94,49,50,1,1,49,1
95,49,55,1,1,49,1
96,49,259,1,1,49,1
97,50,51,1,1,50,1
98,53,51,1,1,53,1
99,53,54,1,1,53,1
100,53,260,1,1,53,1
101,54,52,1,1,54,1
102,54,53,1,1,54,1
103,54,56,1,1,54,1
104,54,123,1,1,54,1
105,54,261,1,1,54,1
106,55,49,1,1,55,1
107,55,56,1,1,55,1
108,56,54,1,1,56,1
109,57,180,1,1,57,1
110,59,60,1,1,59,1
111,59,61,1,1,59,1
112,61,62,1,1,61,1
113,62,61,1,1,62,1
114,62,240,1,1,62,1
115,64,29,1,1,64,1
116,64,60,1,1,64,1
117,64,63,1,1,64,1
